tentinh,tenhuyen,tenxa,tendb,wb_poverty,count
An Giang,Thành phố Long Xuyên,Phường Đông Xuyên,"Khóm Đông An (tổ 1,2,3,4,5)",normal,50236
An Giang,Thành phố Long Xuyên,Xã Mỹ Hoà Hưng,"Ấp Mỹ An 1 (Tổ 6,7,8)",normal,34104
An Giang,Thành phố Long Xuyên,Xã Mỹ Khánh,"ấp Bình Khánh (Tổ 13A, 14, 15, 15A)",normal,25387
An Giang,Thị xã Tân Châu,Phường Long Châu,"Khóm Long Hưng (Tổ 12, 18)",normal,28305
An Giang,Thị xã Tân Châu,Phường Long Thạnh,"Khóm Long Thạnh D (Tổ 6,7,8)",normal,35728
An Giang,Thị xã Tân Châu,Xã Châu Phong,"Ấp Hòa Long ( Tổ 1,2,3)",normal,27132
An Giang,Thị xã Tân Châu,Xã Long An,"Ấp Long Hiệp (Tổ 16,17,18,19)",normal,24300
An Giang,Thị xã Tân Châu,Xã Tân An,"Ấp Tân Hậu A1( Tổ 1,2,3)",normal,29580
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Thị trấn Ngãi Giao,"Phú giao1(T5,T6,T7)",extreme poverty,3177.2
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Thị trấn Ngãi Giao,"Phú giao1(T5,T6,T7)",normal,44480.799999999996
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Bình Giã,ấp Đông Linh (Tổ 4+5+6+7),extreme poverty,9895.733333333334
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Bình Giã,ấp Đông Linh (Tổ 4+5+6+7),normal,27213.266666666666
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Cù Bị,"Thôn Việt Cường (Tổ 10,11,12,13,14)",extreme poverty,8500.266666666666
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Cù Bị,"Thôn Việt Cường (Tổ 10,11,12,13,14)",normal,23375.733333333334
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Nghĩa Thành,"Quảng Thành 1 (Tổ 27,28,33,34)",extreme poverty,1176
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Nghĩa Thành,"Quảng Thành 1 (Tổ 27,28,33,34)",normal,16464
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Suối Nghệ,Thôn Gio An( tổ 3+4+5+10),extreme poverty,2192.4
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Suối Nghệ,Thôn Gio An( tổ 3+4+5+10),normal,30693.600000000002
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Suối Rao,"Thôn 2 (tổ 1,2,3,4,5)",extreme poverty,19844
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Suối Rao,"Thôn 2 (tổ 1,2,3,4,5)",normal,7216
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Xuân Sơn,"Sơn Hòa (tổ 4,5,6,7)",extreme poverty,14400
Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Xuân Sơn,"Sơn Hòa (tổ 4,5,6,7)",normal,21600
Bà Rịa - Vũng Tàu,Huyện Long Điền,Thị trấn Long Hải,Tổ 8-9-10 KP Hải Hòa,normal,25194
Bà Rịa - Vũng Tàu,Huyện Long Điền,Thị trấn Long Điền,( Tổ 1 + Tổ 2 + Tổ 3 + Tổ 4) Kp Long Bình,normal,21761
Bà Rịa - Vũng Tàu,Huyện Long Điền,Xã An Ngãi,Ấp An Hòa ( Tổ 1+2+3+5),normal,20812
Bà Rịa - Vũng Tàu,Huyện Long Điền,Xã Phước Tỉnh,Tổ 6+7 ấp Phước Lợi,normal,26928
Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Bàu Lâm,Ấp 2B(Tổ 6+7+8),extreme poverty,16524
